Repositories Name,Sha of the commits,Tags of the repository
ansible-collection-nginx,0a9279090d2ce99b9bf697ea3b223212ed9893cc,0.23.1
ansible-nginx-plus-playbooks,228c88a48a70c38cc924c015c7a7813250b8c9fd,0.23.0
ansible-role-nginx,1bcc46fe843348d3c587c129c9fdd45d250ec994,0.22.0
ansible-role-nginx-app-protect,19069ce980efeb3fa39015ef28f41f1e4074267f,0.21.3
ansible-role-nginx-config,20b2a2c6b3385619ab9c666e30dfb0d412e946f2,0.21.2
ansible-role-nginx-controller-certificate,fa024fcb0c1aa7fec84dbfbd3fe383e9c34bfe47,0.21.1
ansible-role-nginx-controller-component,4530a0ccb9f947d5f82d05615b925df6e8a77b24,0.21.0
ansible-role-nginx-controller-gateway,368ea77437cf8bca66eb5aff5a89735548bede15,0.20.0
ansible-role-nginx-controller-license,d5c367ddb806f7db42a19bcf4cde0ba154f20932,0.19.2
ansible-role-nginx-unit,8b9947e6e5d1c920944c89451ed07742c01a55e8,0.19.1
ansible-role-nginx_controller_api_definition_import,b2967551b8b24f70996191b9910b98015593a2f9,0.19.0
ansible-role-nginx_controller_application,8be0e37f39c7719f52989f3cc4cf0cf1bad410b5,0.18.2
ansible-role-nginx_controller_environment,c0def6c5e152ed01117bdbb07b35f72595b8178a,0.18.1
ansible-role-nginx_controller_forwarder,ce75780e4735d38d981184bfa951203be863b826,0.18.0
ansible-role-nginx_controller_integration,1f6d61db9e6d1187b87c457528d20a20673beed0,0.17.4
ansible-role-nginx_controller_location,3907ef85028ac4da8a01b91a8380dcdb0a022ffc,0.17.3
ansible-role-nginx_controller_publish_api,e897a1e9894655302ef908523ba648b961c24a38,0.17.2
ansible-role-nginx_controller_user,b93e321b113d9400f6b331bbb2e94d57d695889d,0.17.1
ansible-role-nginx_controller_user_role,aac400d3e85e02b9fca323a207228f227f5ec3db,0.17.0
ansible_collection_nginx_controller,aefc1a5169fbbe1c5eb83d58a99084ce3670cd39,0.16.0
ansible_role_nginx_controller_agent,2faf52bcc6a4a3ae75bf157b8f429c5f898c7db6,0.15.0
ansible_role_nginx_controller_generate_token,db2b8dc532dda1b3effd411dcb76196f60f00b5a,0.14.0
ansible_role_nginx_controller_install,6c81756e9ff755d327ac5e9d27d5d3e9d99bf7a0,0.13.0
aws-ha-elastic-ip,3523d15c2b91cf8cf1018d745141a299a1c8b10a,0.12.0
bank-of-sirius,fc588e2b9fc0994bbb642a546d0e1519c98e7100,0.11.0
chrony-formula,45b5db2bc08298b676e02379ecaa36e501f4be89,0.10.1
Community-Code-of-Conduct,6d9aa2ca579962e94fb3ce5ac7c553b00786acde,0.10.0
crossplane,7277af1f4d2fc8601f74dc48471ad66a66ffce00,0.9.0
docker-formula,14dad99814f5bb40491e1941806cc05f368ddb64,0.8.0
docker-nginx,acf07a3699cf9fdfe7b3246c5715e3dec53a0550,0.7.1
